90062,7691844,Rio da Ceva,Rio da Ceva,-25.79628,-48.71888,H,STM,BR,,18.0,,,,0,,7,America/Sao_Paulo,2012-01-21,Rio da Ceva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90063,7691845,Três Barras,Tres Barras,-25.8025,-48.714,L,LCTY,BR,,18.0,,,,0,,11,America/Sao_Paulo,2012-01-21,Tres Barras,Três Barras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90064,7691846,Sítio Manoel Alves,Sitio Manoel Alves,-25.8077,-48.7144,P,PPL,BR,,18.0,4109609.0,,,0,,13,America/Sao_Paulo,2012-08-03,Sitio Manoel Alves,Sítio Manoel Alves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90065,7691847,Escola Três Barras,Escola Tres Barras,-25.8098,-48.7122,S,SCH,BR,,18.0,4109609.0,,,0,,24,America/Sao_Paulo,2012-08-03,Escola Tres Barras,Escola Três Barras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90066,7691848,Sítio Veiga,Sitio Veiga,-25.81,-48.7205,P,PPL,BR,,18.0,4109609.0,,,0,,19,America/Sao_Paulo,2012-08-03,Sitio Veiga,Sítio Veiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90067,7691849,Rio Tabatinga,Rio Tabatinga,-25.81856,-48.71835,H,STM,BR,,18.0,,,,0,,5,America/Sao_Paulo,2012-01-21,Rio Tabatinga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90068,7691850,Rio Cubatão,Rio Cubatao,-25.86269,-48.71458,H,STM,BR,,18.0,,,,0,,2,America/Sao_Paulo,2021-08-14,Cubatao River,Cubatão River,Rio Cubatao,Rio Cubatão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90069,7691851,Rio Furado Grande,Rio Furado Grande,-25.83967,-48.73072,H,STM,BR,,18.0,,,,0,,3,America/Sao_Paulo,2012-01-21,Rio Furado Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90070,7691852,Goiaral,Goiaral,-25.8245,-48.7187,L,LCTY,BR,,18.0,,,,0,,14,America/Sao_Paulo,2012-01-21,Goiaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90071,7691853,Monte Alegre,Monte Alegre,-25.84433,-48.72526,P,PPLL,BR,,18.0,4109609.0,,,0,,16,America/Sao_Paulo,2012-08-03,Monte Alegre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
