geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername120,othername130,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55
3391463,Riacho de Porcos,Riacho de Porcos,,-723.333,-38.9,H,STMI,BR,,6,,,,0,,544,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391464,Riacho Porcos,Riacho Porcos,,-7.1,-3.776.667,H,STMI,BR,,17,,,,0,,277,America/Recife,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391465,Lagoa dos Porcos,Lagoa dos Porcos,,-3.75,-3.871.667,H,LK,BR,,6,,,,0,,33,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391466,Lagoa dos Porços,Lagoa dos Porcos,,-3.45,-39.1,H,LK,BR,,6,,,,0,,5,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391467,Lagoa dos Porcos,Lagoa dos Porcos,,-323.333,-4.191.667,H,LK,BR,,20,,,,0,,8,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391468,Ilha dos Porcos,Ilha dos Porcos,Ilha Inajatuba$Ilha dos Porcos,-178.333,-4.971.667,T,ISL,BR,BR,16,,,,0,,18,America/Belem,19/01/2012,Ilha Inajatuba,Ilha dos Porcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391469,Ilha dos Porcos,Ilha dos Porcos,Ilha dos Porcos,-0.39867,-5.108.964,T,ISL,BR,,16,,,,0,,17,America/Belem,05/06/2013,Ilha dos Porcos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391470,Açude dos Porcos,Acude dos Porcos,,-783.333,-41.3,H,LK,BR,,20,,,,0,,369,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391471,Porcos,Porcos,,-701.667,-4.081.667,P,PPL,BR,,20,2210300.0,,,0,,355,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391472,Porcos,Porcos,,-623.333,-3.791.667,P,PPL,BR,,22,2400901.0,,,0,,328,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391473,Riacho do Porco,Riacho do Porco,,-5.3,-4.231.667,H,STMI,BR,,20,,,,0,,108,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391474,Serra Porca Magra,Serra Porca Magra,,-5.75,-3.893.333,T,MT,BR,,6,2313005.0,,,0,,202,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391475,Riacho da Porca Magra,Riacho da Porca Magra,,-581.667,-3.883.333,H,STMI,BR,,6,,,,0,,144,America/Fortaleza,17/12/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391476,Ilha Poraquê,Ilha Poraque,Ilha Poraque$Ilha Poraquê,-161.667,-5.488.333,T,ISL,BR,,16,,,,0,,29,America/Manaus,05/12/2018,Ilha Poraque,Ilha Poraquê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391477,Porão,Porao,,-33.779,-394.545,P,PPL,BR,,6,2313500.0,,,0,,52,America/Fortaleza,05/12/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391478,Riacho Porangaba,Riacho Porangaba,Riacho Porangaba$Rio Porangaba,-956.667,-3.601.667,H,STM,BR,BR,2,,,,0,,64,America/Maceio,19/01/2012,Riacho Porangaba,Rio Porangaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391479,Porangaba,Porangaba,,-966.667,-3.631.667,P,PPL,BR,,2,2700201.0,,,0,,139,America/Maceio,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391480,Porangaba,Porangaba,,-9.55,-36.15,P,PPL,BR,,2,2700409.0,,,0,,127,America/Maceio,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391481,Poranga,Poranga,,-474.472,-4.092.611,P,PPL,BR,,6,2311009.0,,,0,,716,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391482,Serrote do Pontudo,Serrote do Pontudo,,-48.274,-3.885.856,T,HLLS,BR,,6,,,,0,348.0,275,America/Fortaleza,27/01/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391483,Serrote Pontudo,Serrote Pontudo,,-608.333,-4.031.667,T,MT,BR,,6,2313302.0,,,0,,452,America/Fortaleza,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391484,Pontos Brancos,Pontos Brancos,,-948.333,-3.693.333,P,PPL,BR,,2,2701209.0,,,0,,223,America/Maceio,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391485,Pontinhas,Pontinhas,Guagiru$Guajiru$Guajirú$Pontinha$Pontinhas$Potinha,-753.333,-3.483.333,P,PPL,BR,BR,17,2511905.0,,,0,,9,America/Fortaleza,03/08/2012,Guagiru,Guajiru,Guajirú,Pontinha,Pontinhas,Potinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
