geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
7777624,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,-239.379,-5.033.791,S,FRM,BR,,18,4107009,,,0,,699,America/Sao_Paulo,03/08/2012
7777625,Sítio Dois Amigos,Sitio Dois Amigos,Sitio Dois Amigos$Sítio Dois Amigos,-2.394.286,-5.031.908,P,PPL,BR,,18,4109708,,,0,,631,America/Sao_Paulo,03/08/2012
7777626,Sítio Bom Jesus,Sitio Bom Jesus,Sitio Bom Jesus$Sítio Bom Jesus,-2.394.523,-503.132,P,PPL,BR,,18,4109708,,,0,,636,America/Sao_Paulo,03/08/2012
7777627,Sítio Bento,Sitio Bento,Sitio Bento$Sítio Bento,-2.394.608,-5.030.965,P,PPL,BR,,18,4109708,,,0,,654,America/Sao_Paulo,03/08/2012
7777628,Sítio Luiz Paulo,Sitio Luiz Paulo,Sitio Luiz Paulo$Sítio Luiz Paulo,-239.493,-5.030.742,P,PPL,BR,,18,4109708,,,0,,571,America/Sao_Paulo,03/08/2012
7777629,Sítio Júlio C. de Camargo,Sitio Julio C. de Camargo,Sitio Julio C. de Camargo$Sítio Júlio C. de Camargo,-2.394.951,-5.035.208,P,PPL,BR,,18,4107009,,,0,,743,America/Sao_Paulo,03/08/2012
7777630,Sítio João Maria,Sitio Joao Maria,Sitio Joao Maria$Sítio João Maria,-2.394.832,-5.035.594,P,PPL,BR,,18,4107009,,,0,,789,America/Sao_Paulo,03/08/2012
7777631,Escola Luís Leme,Escola Luis Leme,Escola Luis Leme$Escola Luís Leme,-239.488,-503.574,S,SCH,BR,,18,4107009,,,0,,796,America/Sao_Paulo,03/08/2012
7777632,Água do Monjolo,Agua do Monjolo,Agua do Monjolo$Água do Monjolo,-239.607,-503.562,H,STM,BR,,18,,,,0,,603,America/Sao_Paulo,21/01/2012
7777633,Sítio Nelson Moreira,Sitio Nelson Moreira,Sitio Nelson Moreira$Sítio Nelson Moreira,-2.395.075,-5.036.171,P,PPL,BR,,18,4107009,,,0,,753,America/Sao_Paulo,03/08/2012
7777634,Sítio Milton Ferreira,Sitio Milton Ferreira,Sitio Milton Ferreira$Sítio Milton Ferreira,-2.395.533,-5.036.488,P,PPL,BR,,18,4107009,,,0,,642,America/Sao_Paulo,03/08/2012
7777635,Sítio São Luís,Sitio Sao Luis,Sitio Sao Luis$Sítio São Luís,-2.395.775,-5.035.892,P,PPL,BR,,18,4107009,,,0,,660,America/Sao_Paulo,03/08/2012
7777636,Sítio São Pedro,Sitio Sao Pedro,Sitio Sao Pedro$Sítio São Pedro,-239.647,-5.035.822,P,PPL,BR,,18,4107009,,,0,,628,America/Sao_Paulo,03/08/2012
7777637,Fazenda São Cristóvão,Fazenda Sao Cristovao,Fazenda Sao Cristovao$Fazenda São Cristóvão,-239.792,-5.035.546,S,FRM,BR,,18,4107009,,,0,,692,America/Sao_Paulo,03/08/2012
7777638,Bairro Espigão Baixo,Bairro Espigao Baixo,Bairro Espigao Baixo$Bairro Espigão Baixo,-239.773,-503.344,L,LCTY,BR,,18,,,,0,,648,America/Sao_Paulo,21/01/2012
7777639,Sítio Casa Grande,Sitio Casa Grande,Sitio Casa Grande$Sítio Casa Grande,-2.397.182,-5.033.287,P,PPL,BR,,18,4107009,,,0,,634,America/Sao_Paulo,03/08/2012
7777640,Rio do Engano,Rio do Engano,Rio do Engano,-2.396.273,-5.030.525,L,LCTY,BR,,18,,,,0,,633,America/Sao_Paulo,21/01/2012
7777641,Sítio Lauro de J. Bueno,Sitio Lauro de J. Bueno,Sitio Lauro de J. Bueno$Sítio Lauro de J. Bueno,-2.398.792,-5.032.684,P,PPL,BR,,18,4107009,,,0,,645,America/Sao_Paulo,03/08/2012
