geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,othername0,othername1,othername2,othername3,othername4,othername5,othername6,othername7,othername8,othername9,othername10,othername11,othername12,othername13,othername14,othername15,othername16,othername17,othername18,othername19,othername20,othername21,othername22,othername23,othername24,othername25,othername26,othername27,othername28,othername29,othername30,othername31,othername32,othername33,othername34,othername35,othername36,othername37,othername38,othername39,othername40,othername41,othername42,othername43,othername44,othername45,othername46,othername47,othername48,othername49,othername50,othername51,othername52,othername53,othername54,othername55,othername56,othername57,othername58,othername59,othername60,othername61,othername62,othername63,othername64,othername65,othername66,othername67,othername68,othername69,othername70,othername71,othername72,othername73,othername74,othername75,othername76,othername77,othername78,othername79,othername80,othername81,othername82,othername83,othername84,othername85,othername86,othername87,othername88,othername89,othername90,othername91,othername92,othername93,othername94,othername95,othername96,othername97,othername98
3461318,Indaiá do Aguapeí,Indaia do Aguapei,,-2.140.917,-5.115.611,P,PPLL,BR,,27,3516002.0,,,0,,338,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461319,Indaiaçu,Indaiacu,Indaiacu$Indaiaçu,-22.5,-42.25,S,RSTP,BR,,21,3301306.0,,,0,,20,America/Sao_Paulo,05/12/2012,Indaiacu,Indaiaçu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461320,Indaiabira,Indaiabira,,-1.549.167,-4.219.722,P,PPL,BR,,15,3130655.0,,,0,,849,America/Sao_Paulo,03/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461321,Rio Indaiá,Rio Indaia,Indaia River$Indaiá River$Rio Indaia$Rio Indaiá,-2.016.667,-45.15,H,STM,BR,,15,,,,0,,795,America/Sao_Paulo,19/08/2021,Indaia River,Indaiá River,Rio Indaia,Rio Indaiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461322,Rio Indaiá,Rio Indaia,Rio Indaia$Rio Indaiá,-18.45,-4.536.667,H,STM,BR,,15,,,,0,,566,America/Sao_Paulo,09/02/2013,Rio Indaia,Rio Indaiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461323,Ribeirão do Indaiá,Ribeirao do Indaia,Ribeirao do Indaia$Ribeirão do Indaiá,-2.073.333,-48.3,H,STM,BR,,27,,,,0,,499,America/Sao_Paulo,05/03/2013,Ribeirao do Indaia,Ribeirão do Indaiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461324,Ribeirão Indaiá,Ribeirao Indaia,Ribeirao Indaia$Ribeirão Indaiá,-1.633.333,-48.25,H,STM,BR,,29,,,,0,,893,America/Sao_Paulo,09/02/2013,Ribeirao Indaia,Ribeirão Indaiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461325,Córrego do Indaiá,Corrego do Indaia,Corrego do Indaia$Córrego do Indaiá,-1.771.667,-51.1,H,STM,BR,,29,,,,0,,755,America/Sao_Paulo,09/02/2013,Corrego do Indaia,Córrego do Indaiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461326,Córrego Indaiá,Corrego Indaia,Corrego Indaia$Corrego Indaja$Córrego Indaiá$Córrego Indaja,-2.163.333,-5.291.667,H,STM,BR,BR,11,,,,0,,336,America/Campo_Grande,19/01/2012,Corrego Indaia,Corrego Indaja,Córrego Indaiá,Córrego Indaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3461327,Indaiá,Indaia,Indaia$Indaiá,-2.031.667,-4.741.667,S,RSTN,BR,,27,3513207.0,,,0,,1053,America/Sao_Paulo,05/03/2013,Indaia,Indaiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
